,date,tweet,sentence,num_sentence,average_sentence_length,tokens,count_tokens
10,2018-12-09,数名香港女空服员披露，她们不仅受乘客骚扰，其他航空公司的同业也曾伸出咸猪手。  @LINK  ⬇看过来⬇ ✌中国报最新网站 「北马人」告诉你北马大小事 → @LINK  ✌中国报最新网站 东海岸人报你知 → @LINK  #今日中国报 #空姐 #香港 #MeToo  pic.twitter.com/sRPqyn6lpI,['数名香港女空服员披露，她们不仅受乘客骚扰，其他航空公司的同业也曾伸出咸猪手。  @LINK\xa0 ⬇看过来⬇ ✌中国报最新网站 「北马人」告诉你北马大小事 → @LINK\xa0 ✌中国报最新网站 东海岸人报你知 → @LINK\xa0 #今日中国报 #空姐 #香港 #MeToo  pic.twitter.com/sRPqyn6lpI'],1,72,"['数名', '香港', '女空', '服员', '披露', '，', '她们', '不仅', '受', '乘客', '骚扰', '，', '其他', '航空公司', '的', '同业', '也', '曾', '伸出', '咸猪', '手', '。', '@', 'LINK', '⬇', '看', '过来', '⬇', '✌', '中国', '报', '最新', '网站', '「', '北马人', '」', '告诉', '你', '北马', '大小事', '→', '@', 'LINK', '✌', '中国', '报', '最新', '网站', '东海岸', '人报', '你', '知', '→', '@', 'LINK', '#', '今日', '中国', '报', '#', '空姐', '#', '香港', '#', 'MeToo', 'pic', '.', 'twitter', '.', 'com', '/', 'sRPqyn6lpI']",72
11,2018-12-09,丽始小姑娘 任人来打扮 仙发老人家 轻声说迷途 #MeToo,['丽始小姑娘 任人来打扮 仙发老人家 轻声说迷途 #MeToo'],1,11,"['丽始', '小姑娘', '任人来', '打扮', '仙发', '老人家', '轻声', '说', '迷途', '#', 'MeToo']",11
12,2018-12-09,鼻要这样想～ #MeToo,['鼻要这样想～ #MeToo'],1,6,"['鼻要', '这样', '想', '～', '#', 'MeToo']",6
13,2018-12-08,我也遭受了淫秽行为。  「我会引起你的性羞耻。你会成为受害者，你不能说是什么伤害」  「继续出现在媒体上进行骚扰，引导你自杀」  我受到了PicoTaro的威胁。  我必须忍受虐待吗？  我不想忍受它。  #MeToo #米兔,['我也遭受了淫秽行为。  「我会引起你的性羞耻。你会成为受害者，你不能说是什么伤害」  「继续出现在媒体上进行骚扰，引导你自杀」  我受到了PicoTaro的威胁。  我必须忍受虐待吗？  我不想忍受它。  #MeToo #米兔'],1,63,"['我', '也', '遭受', '了', '淫秽', '行为', '。', '「', '我会', '引起', '你', '的', '性', '羞耻', '。', '你', '会', '成为', '受害者', '，', '你', '不能', '说', '是', '什么', '伤害', '」', '「', '继续', '出现', '在', '媒体', '上', '进行', '骚扰', '，', '引导', '你', '自杀', '」', '我', '受到', '了', 'PicoTaro', '的', '威胁', '。', '我', '必须', '忍受', '虐待', '吗', '？', '我', '不想', '忍受', '它', '。', '#', 'MeToo', '#', '米', '兔']",63
14,2018-12-07,【周末分享】看不见的手──谁让性暴力受害者噤声？ 　 从年初的法官性骚扰案、6 月爆发的身心障碍机构性侵案、华山性侵分尸案，一桩桩案件激起水花却无法产生涟漪。  当反性侵、性骚的「#Metoo」运动在全球风起云涌时，台湾却相对寂静。...  @LINK …,['【周末分享】看不见的手──谁让性暴力受害者噤声？ \u3000 从年初的法官性骚扰案、6 月爆发的身心障碍机构性侵案、华山性侵分尸案，一桩桩案件激起水花却无法产生涟漪。  当反性侵、性骚的「#Metoo」运动在全球风起云涌时，台湾却相对寂静。...  @LINK\xa0…'],1,70,"['【', '周末', '分享', '】', '看不见', '的', '手', '─', '─', '谁', '让', '性暴力', '受害者', '噤声', '？', '从', '年初', '的', '法官', '性骚扰', '案', '、', '6', '月', '爆发', '的', '身心', '障碍', '机构', '性', '侵案', '、', '华山', '性侵', '分尸案', '，', '一桩', '桩', '案件', '激起', '水花', '却', '无法', '产生', '涟漪', '。', '当反性', '侵', '、', '性骚', '的', '「', '#', 'Metoo', '」', '运动', '在', '全球', '风起云涌', '时', '，', '台湾', '却', '相对', '寂静', '。', '...', '@', 'LINK', '…']",70
15,2018-12-07,台湾演艺圈真是有趣，遇到了外省挂的大咖，每个都温良恭俭让了起来，说好的metoo呢？#钮承泽 #MeToo,['台湾演艺圈真是有趣，遇到了外省挂的大咖，每个都温良恭俭让了起来，说好的metoo呢？#钮承泽 #MeToo'],1,28,"['台湾', '演艺圈', '真是', '有趣', '，', '遇到', '了', '外省', '挂', '的', '大', '咖', '，', '每个', '都', '温良恭俭让', '了', '起来', '，', '说好', '的', 'metoo', '呢', '？', '#', '钮承泽', '#', 'MeToo']",28
16,2018-12-06,一周新闻重点整理  周日：韩国瑜好棒棒 周一：严凯泰蒙主宠召 周二：韩国瑜好棒棒 周三：贵妇奈奈倒闭跑路 周四：韩国瑜好棒棒 周五：钮承泽被 #Metoo⬅️现在在这里 周六：韩国瑜好棒棒  改编一下文豪萧伯纳的自嘲：电视打开都是我的画面，害我以为我死了。,['一周新闻重点整理  周日：韩国瑜好棒棒 周一：严凯泰蒙主宠召 周二：韩国瑜好棒棒 周三：贵妇奈奈倒闭跑路 周四：韩国瑜好棒棒 周五：钮承泽被 #Metoo⬅️现在在这里 周六：韩国瑜好棒棒  改编一下文豪萧伯纳的自嘲：电视打开都是我的画面，害我以为我死了。'],1,73,"['一周', '新闻', '重点', '整理', '周日', '：', '韩国', '瑜', '好', '棒棒', '周一', '：', '严', '凯泰', '蒙主宠召', '周二', '：', '韩国', '瑜', '好', '棒棒', '周三', '：', '贵妇', '奈奈', '倒闭', '跑', '路', '周四', '：', '韩国', '瑜', '好', '棒棒', '周五', '：', '钮承', '泽被', '#', 'Metoo', '⬅', '️', '现在', '在', '这里', '周六', '：', '韩国', '瑜', '好', '棒棒', '改编', '一下', '文豪', '萧伯纳', '的', '自嘲', '：', '电视', '打开', '都', '是', '我', '的', '画面', '，', '害', '我', '以为', '我', '死', '了', '。']",73
17,2018-12-06,钮承泽剃大光头一抹微笑，「让我去大安分局吧！」 #钮承泽 #NiuChenZer #豆导 #director #MeToo #光头 #policeoffice  →→ @LINK  pic.twitter.com/vAEaSCZlGn,['钮承泽剃大光头一抹微笑，「让我去大安分局吧！」 #钮承泽 #NiuChenZer #豆导 #director #MeToo #光头 #policeoffice  →→ @LINK\xa0 pic.twitter.com/vAEaSCZlGn'],1,41,"['钮承泽', '剃', '大', '光头', '一抹', '微笑', '，', '「', '让', '我', '去', '大安', '分局', '吧', '！', '」', '#', '钮承泽', '#', 'NiuChenZer', '#', '豆导', '#', 'director', '#', 'MeToo', '#', '光头', '#', 'policeoffice', '→', '→', '@', 'LINK', 'pic', '.', 'twitter', '.', 'com', '/', 'vAEaSCZlGn']",41
18,2018-12-06,特攻队 #MeToo #格の违い @LINK …,['特攻队 #MeToo #格の违い @LINK\xa0…'],1,11,"['特攻队', '#', 'MeToo', '#', '格', 'の', '违', 'い', '@', 'LINK', '…']",11
19,2018-12-06,钮承泽事件会不会演变成台湾演艺圈的 #metoo 运动？,['钮承泽事件会不会演变成台湾演艺圈的 #metoo 运动？'],1,12,"['钮承泽', '事件', '会', '不会', '演变成', '台湾', '演艺圈', '的', '#', 'metoo', '运动', '？']",12
20,2018-12-06,【最即时专题6】家里出4皇后2皇帝！钮承泽满清后代，炫耀慈安「我姑奶奶」 #钮承泽 #NiuChenZer #豆导 #director #MeToo #钮祜禄氏 #慈安太后 @LINK ,['【最即时专题6】家里出4皇后2皇帝！钮承泽满清后代，炫耀慈安「我姑奶奶」 #钮承泽 #NiuChenZer #豆导 #director #MeToo #钮祜禄氏 #慈安太后 @LINK'],1,40,"['【', '最', '即时', '专题', '6', '】', '家里', '出', '4', '皇后', '2', '皇帝', '！', '钮承泽', '满清', '后代', '，', '炫耀', '慈安', '「', '我', '姑奶奶', '」', '#', '钮承泽', '#', 'NiuChenZer', '#', '豆导', '#', 'director', '#', 'MeToo', '#', '钮祜禄', '氏', '#', '慈安太后', '@', 'LINK']",40
21,2018-12-05,花街的确没啥 #metoo 实在人，什么都可以量化再对冲风险,['花街的确没啥 #metoo 实在人，什么都可以量化再对冲风险'],1,16,"['花街', '的确', '没', '啥', '#', 'metoo', '实在', '人', '，', '什么', '都', '可以', '量化', '再', '对冲', '风险']",16
22,2018-12-05,【名导性侵】钮承泽被爆强吻张钧宁，逼柯奂如全裸拍床戏 #钮承泽 #NiuChenZer #豆导 #director #MeToo #대만 #台湾 #Taiwan #台湾 @LINK ,['【名导性侵】钮承泽被爆强吻张钧宁，逼柯奂如全裸拍床戏 #钮承泽 #NiuChenZer #豆导 #director #MeToo #대만 #台湾 #Taiwan #台湾 @LINK'],1,36,"['【', '名导', '性侵', '】', '钮承', '泽被', '爆强', '吻', '张钧宁', '，', '逼柯奂', '如', '全裸', '拍床', '戏', '#', '钮承泽', '#', 'NiuChenZer', '#', '豆导', '#', 'director', '#', 'MeToo', '#', '대', '만', '#', '台湾', '#', 'Taiwan', '#', '台湾', '@', 'LINK']",36
23,2018-12-05,@MENTION 西贡崇真天主教小学训导主任涉30年前非礼5女子被控　下周二提堂 再有「#MeToo」反性侵案！警方发言人证实，5名女子报称于30年前被学校男教师非礼，警方今年3   @LINK ,['@MENTION 西贡崇真天主教小学训导主任涉30年前非礼5女子被控\u3000下周二提堂 再有「#MeToo」反性侵案！警方发言人证实，5名女子报称于30年前被学校男教师非礼，警方今年3   @LINK'],1,47,"['@', 'MENTION', '西贡', '崇真', '天主教', '小学', '训导主任', '涉', '30', '年前', '非礼', '5', '女子', '被控', '下', '周二', '提堂', '再有', '「', '#', 'MeToo', '」', '反性', '侵案', '！', '警方', '发言人', '证实', '，', '5', '名', '女子', '报称', '于', '30', '年前', '被', '学校', '男', '教师', '非礼', '，', '警方', '今年', '3', '@', 'LINK']",47
24,2018-12-05,@MENTION 西贡崇真天主教小学训导主任涉30年前非礼5女子被控　下周二提堂 再有「#MeToo」反性侵案！警方发言人证实，5名女子报称于30年前被学校男教师非礼，警方今年3   @LINK ,['@MENTION 西贡崇真天主教小学训导主任涉30年前非礼5女子被控\u3000下周二提堂 再有「#MeToo」反性侵案！警方发言人证实，5名女子报称于30年前被学校男教师非礼，警方今年3   @LINK'],1,47,"['@', 'MENTION', '西贡', '崇真', '天主教', '小学', '训导主任', '涉', '30', '年前', '非礼', '5', '女子', '被控', '下', '周二', '提堂', '再有', '「', '#', 'MeToo', '」', '反性', '侵案', '！', '警方', '发言人', '证实', '，', '5', '名', '女子', '报称', '于', '30', '年前', '被', '学校', '男', '教师', '非礼', '，', '警方', '今年', '3', '@', 'LINK']",47
25,2018-12-04,#SyncFromMastodon  男性为求自保决定远离 MeToo运动反使女性陷入孤立 | 国际 | 重点新闻 | 中央社 CNA  @LINK … #男性为求自保决定远离_MeToo运动反使女性陷入孤立 #MeToo #华尔街 #性骚扰 #News #新闻 #即时新闻 #中央社  @LINK …,['#SyncFromMastodon  男性为求自保决定远离 MeToo运动反使女性陷入孤立 | 国际 | 重点新闻 | 中央社 CNA  @LINK\xa0… #男性为求自保决定远离_MeToo运动反使女性陷入孤立 #MeToo #华尔街 #性骚扰 #News #新闻 #即时新闻 #中央社  @LINK\xa0…'],1,54,"['#', 'SyncFromMastodon', '男性', '为求', '自保', '决定', '远离', 'MeToo', '运动', '反使', '女性', '陷入', '孤立', '|', '国际', '|', '重点', '新闻', '|', '中央社', 'CNA', '@', 'LINK', '…', '#', '男性', '为求', '自保', '决定', '远离', '_', 'MeToo', '运动', '反使', '女性', '陷入', '孤立', '#', 'MeToo', '#', '华尔街', '#', '性骚扰', '#', 'News', '#', '新闻', '#', '即时新闻', '#', '中央社', '@', 'LINK', '…']",54
26,2018-12-04,在国内，顺性别女性群体从来都不待见mtf，很多女性主义支持者都带有trans-exclusive倾向。她们当然会支持很多性别议题比如 #MeToo ，但看到我们还是会觉得，看，这群人多恶心，还想模仿我们？  这世界大概是要完了吧。我会无比希望地球爆炸，世界毁灭呢。,['在国内，顺性别女性群体从来都不待见mtf，很多女性主义支持者都带有trans-exclusive倾向。她们当然会支持很多性别议题比如 #MeToo ，但看到我们还是会觉得，看，这群人多恶心，还想模仿我们？  这世界大概是要完了吧。我会无比希望地球爆炸，世界毁灭呢。'],1,71,"['在', '国内', '，', '顺', '性别', '女性', '群体', '从来', '都', '不', '待见', 'mtf', '，', '很多', '女性主义', '支持者', '都', '带有', 'trans', '-', 'exclusive', '倾向', '。', '她们', '当然', '会', '支持', '很多', '性别', '议题', '比如', '#', 'MeToo', '，', '但', '看到', '我们', '还是', '会', '觉得', '，', '看', '，', '这群人', '多', '恶心', '，', '还', '想', '模仿', '我们', '？', '这', '世界', '大概', '是', '要', '完', '了', '吧', '。', '我会', '无比', '希望', '地球', '爆炸', '，', '世界', '毁灭', '呢', '。']",71
27,2018-12-04,没有人会想要身边随时抱着不定时炸弹 #MeToo  @LINK …,['没有人会想要身边随时抱着不定时炸弹 #MeToo  @LINK\xa0…'],1,14,"['没有', '人会', '想要', '身边', '随时', '抱', '着', '不', '定时炸弹', '#', 'MeToo', '@', 'LINK', '…']",14
28,2018-12-04,一次同窗朋友生日聚会举办在某位的学生宿舍中 当晚大家有志一同都带了威士忌 酒过三巡，而游戏怎么玩怎么输 喝了有点多 忍住喉间的不适感，我往走廊另一方的厕所去 而他尾随了我也进了厕所 #MeToo #从此看到威士忌就反胃,['一次同窗朋友生日聚会举办在某位的学生宿舍中 当晚大家有志一同都带了威士忌 酒过三巡，而游戏怎么玩怎么输 喝了有点多 忍住喉间的不适感，我往走廊另一方的厕所去 而他尾随了我也进了厕所 #MeToo #从此看到威士忌就反胃'],1,58,"['一次', '同窗', '朋友', '生日', '聚会', '举办', '在', '某位', '的', '学生宿舍', '中', '当晚', '大家', '有志一同', '都', '带', '了', '威士忌', '酒过三巡', '，', '而', '游戏', '怎么', '玩', '怎么', '输', '喝', '了', '有点', '多', '忍住', '喉间', '的', '不适感', '，', '我往', '走廊', '另一方', '的', '厕所', '去', '而', '他', '尾随', '了', '我', '也', '进', '了', '厕所', '#', 'MeToo', '#', '从此', '看到', '威士忌', '就', '反胃']",58
29,2018-12-02,本官宣判：  　衣着性感，深夜外出， 　虽口口声声说：No means no! 　但显然隐晦地确认同意与对方发生关系！  　退堂！  #MeToo!  @LINK …,"['本官宣判：  \u3000衣着性感，深夜外出， \u3000虽口口声声说：No means no!', '但显然隐晦地确认同意与对方发生关系！  \u3000退堂！  #MeToo!', '@LINK\xa0…']",3,13,"['本', '官', '宣判', '：', '衣着', '性感', '，', '深夜', '外出', '，', '虽', '口口声声', '说', '：', 'No', 'means', 'no', '!', '但', '显然', '隐晦', '地', '确认', '同意', '与', '对方', '发生', '关系', '！', '退堂', '！', '#', 'MeToo', '!', '@', 'LINK', '…']",37
30,2018-12-02,本官宣判：  　衣着性感，深夜外出， 　虽口口声声说：No means no! 　但显然隐晦地确认同意与对方发生关系！  　退堂！  #MeToo!  @LINK …,"['本官宣判：  \u3000衣着性感，深夜外出， \u3000虽口口声声说：No means no!', '但显然隐晦地确认同意与对方发生关系！  \u3000退堂！  #MeToo!', '@LINK\xa0…']",3,13,"['本', '官', '宣判', '：', '衣着', '性感', '，', '深夜', '外出', '，', '虽', '口口声声', '说', '：', 'No', 'means', 'no', '!', '但', '显然', '隐晦', '地', '确认', '同意', '与', '对方', '发生', '关系', '！', '退堂', '！', '#', 'MeToo', '!', '@', 'LINK', '…']",37
31,2018-12-02,【职场性骚扰调查报告】今年， #Metoo 运动轰轰烈烈地开展。8月，我国民法典草案增加了禁止性骚扰的条款。与此同时，在一些曝光了的职场性骚扰案例中，很多用人单位的回应令人失望。目前我国职场性骚扰状况如何？用人单位在反性骚扰方面的缺位有多严重？ 广州性别中心的调查： @LINK  pic.twitter.com/ANeAce28Zb,['【职场性骚扰调查报告】今年， #Metoo 运动轰轰烈烈地开展。8月，我国民法典草案增加了禁止性骚扰的条款。与此同时，在一些曝光了的职场性骚扰案例中，很多用人单位的回应令人失望。目前我国职场性骚扰状况如何？用人单位在反性骚扰方面的缺位有多严重？ 广州性别中心的调查： @LINK\xa0 pic.twitter.com/ANeAce28Zb'],1,79,"['【', '职场', '性骚扰', '调查报告', '】', '今年', '，', '#', 'Metoo', '运动', '轰轰烈烈', '地', '开展', '。', '8', '月', '，', '我国', '民法典', '草案', '增加', '了', '禁止', '性骚扰', '的', '条款', '。', '与此同时', '，', '在', '一些', '曝光', '了', '的', '职场', '性骚扰', '案例', '中', '，', '很多', '用人单位', '的', '回应', '令人', '失望', '。', '目前', '我国', '职场', '性骚扰', '状况', '如何', '？', '用人单位', '在', '反', '性骚扰', '方面', '的', '缺位', '有', '多', '严重', '？', '广州', '性别', '中心', '的', '调查', '：', '@', 'LINK', 'pic', '.', 'twitter', '.', 'com', '/', 'ANeAce28Zb']",79
32,2018-11-29,「#MeToo 风潮蔓延全世界，实际感受到以女性的性概念相关讯息的机会增加了。现在能感受到女性所处的环境比在「少女时代」活动时候改善很多了。现在最在乎包括自己在内的女性该拥有什么或应该做什么。我努力的原动力来自于抱持着自信及感受自己身为女性的可能性，并努力以期能活跃于这个社会的想法。」  pic.twitter.com/5aDFdFLtpO,['「#MeToo 风潮蔓延全世界，实际感受到以女性的性概念相关讯息的机会增加了。现在能感受到女性所处的环境比在「少女时代」活动时候改善很多了。现在最在乎包括自己在内的女性该拥有什么或应该做什么。我努力的原动力来自于抱持着自信及感受自己身为女性的可能性，并努力以期能活跃于这个社会的想法。」  pic.twitter.com/5aDFdFLtpO'],1,92,"['「', '#', 'MeToo', '风潮', '蔓延', '全世界', '，', '实际', '感受', '到', '以', '女性', '的', '性', '概念', '相关', '讯息', '的', '机会', '增加', '了', '。', '现在', '能', '感受', '到', '女性', '所处', '的', '环境', '比', '在', '「', '少女时代', '」', '活动', '时候', '改善', '很多', '了', '。', '现在', '最', '在乎', '包括', '自己', '在内', '的', '女性', '该', '拥有', '什么', '或', '应该', '做', '什么', '。', '我', '努力', '的', '原动力', '来自', '于', '抱持着', '自信', '及', '感受', '自己', '身为', '女性', '的', '可能性', '，', '并', '努力', '以期', '能', '活跃', '于', '这个', '社会', '的', '想法', '。', '」', 'pic', '.', 'twitter', '.', 'com', '/', '5aDFdFLtpO']",92
33,2018-11-27,明显性别歧视， #MeToo 运动还要继续深入！  @LINK …,['明显性别歧视， #MeToo 运动还要继续深入！  @LINK\xa0…'],1,13,"['明显', '性别歧视', '，', '#', 'MeToo', '运动', '还要', '继续', '深入', '！', '@', 'LINK', '…']",13
34,2018-11-27,明显性别歧视， #MeToo 运动还要继续深入！,['明显性别歧视， #MeToo 运动还要继续深入！'],1,10,"['明显', '性别歧视', '，', '#', 'MeToo', '运动', '还要', '继续', '深入', '！']",10
